1,Abacavir,Abacavir (ABC) is the most powerful nucleoside analog reverse transcriptase inhibitor (NRTI) used to treat HIV and AIDS.,For the treatment of HIV-1 infection in combination with other antiretroviral agents.,PharmGKB (Drug Bank),http://www.pharmgkb.org/do/serve?objId=PA448004&objCls=Drug,http://clinicaltrials.gov/ct2/results?term=abacavir,yes
2,Aspirin,Aspirin is the prototypical analgesic used in the treatment of mild to moderate pain. It has anti-inflammatory and antipyretic properties and acts as an inhibitor of cyclooxygenase which results in the inhibition of the biosynthesis of prostaglandins. Aspirin also inhibits platelet aggregation and is used in the prevention of arterial and venous thrombosis.,"For use in the temporary relief of various forms of pain, inflammation associated with various conditions (including rheumatoid arthritis, juvenile rheumatoid arthritis, systemic lupus erythematosus, osteoarthritis, and ankylosing spondylitis), and is also used to reduce the risk of death and/or nonfatal myocardial infarction in patients with a previous infarction or unstable angina pectoris.",PharmGKB (Drug Bank),http://www.pharmgkb.org/do/serve?objId=PA448497&objCls=Drug,http://clinicaltrials.gov/ct2/results?term=aspirin,no
3,Atorvastatin,Atorvastatin (Lipitor) is a member of the drug class known as statins. It is used for lowering cholesterol. Atorvastatin inhibits the rate-determining enzyme located in hepatic tissue that produces mevalonate a small molecule used in the synthesis of cholesterol and other mevalonate derivatives. This lowers the amount of cholesterol produced which in turn lowers the total amount of LDL cholesterol.,For management as an adjunct to diet to reduce elevated total-C LDL-C apo B and TG levels in patients with primary hypercholesterolemia and mixed dyslipidemia.,PharmGKB (Drug Bank),http://www.pharmgkb.org/do/serve?objId=PA448500&objCls=Drug,http://clinicaltrials.gov/ct2/results?term=atorvastatin,yes
4,Azathioprine,An immunosuppressive agent used in combination with cyclophosphamide and hydroxychloroquine in the treatment of rheumatoid arthritis. According to the Fourth Annual Report on Carcinogens (NTP 85-002 1985) this substance has been listed as a known carcinogen.,For use as an adjunct in the prevention of rejection in renal homotransplantation. Also for the management of severe active rheumatoid arthritis unresponsive to rest aspirin or other nonsteroidal anti-inflammatory drugs or to agents in the class of which gold is an example.,PharmGKB (Drug Bank),http://www.pharmgkb.org/do/serve?objId=PA448515&objCls=Drug,http://clinicaltrials.gov/ct2/results?term=azathioprine,yes
5,Beta Blockers,Beta blockers also known as beta-adrenergic blocking agents are drugs that block norepinephrine and epinephrine (adrenaline) from binding to beta receptors on nerves. ,For the treatment of abnormal heart rhythm high blood pressure heart failure angina (chest pain) tremor pheochromocytoma and prevention of migraines and other headaches.,MedicineNet,http://www.medicinenet.com/beta_blockers/article.htm,http://clinicaltrials.gov/ct2/results?term=beta+blockers,no
6,Caffeine,Caffeine is a bitter white crystalline xanthine alkaloid that is a psychoactive stimulant drug. ,Caffeine acts as a central nervous system (CNS) stimulant temporarily warding off drowsiness and restoring alertness.,Wikipedia,http://en.wikipedia.org/wiki/Caffeine,http://clinicaltrials.gov/ct2/results?term=caffeine,no
7,Capecitabine,Capecitabine is an orally-administered chemotherapeutic agent used in the treatment of metastatic breast and colorectal cancers. Capecitabine is a prodrug that is enzymatically converted to 5-fluorouracil in the tumor where it inhibits DNA synthesis and slows growth of tumor tissue.,For the treatment of patients with metastatic breast cancer resistant to both paclitaxel and an anthracycline-containing chemotherapy regimen.,PharmGKB (Drug Bank),http://www.pharmgkb.org/do/serve?objId=PA448771&objCls=Drug,http://clinicaltrials.gov/ct2/results?term=capecitabine,yes
8,Carbamazepine,An anticonvulsant used to control grand mal and psychomotor or focal seizures. Its mode of action is not fully understood but some of its actions resemble those of phenytoin; although there is little chemical resemblance between the two compounds their three-dimensional structure is similar.,For the treatment of epilepsy and pain associated with true trigeminal neuralgia.,PharmGKB (Drug Bank),http://www.pharmgkb.org/do/serve?objId=PA448785&objCls=Drug,http://clinicaltrials.gov/ct2/results?term=carbamazepine,yes
9,Celecoxib,Celecoxib is a non-steroidal anti-inflammatory drug (NSAID) used in the treatment of osteoarthritis rheumatoid arthritis acute pain painful menstruation and menstrual symptoms and to reduce numbers of colon and rectum polyps in patients with familial adenomatous polyposis.,For relief and management of osteoarthritis (OA) rheumatoid arthritis (RA) ankylosing spondylitis acute pain primary dysmenorrhea and oral adjunct to usual care for patients with familial adenomatous polyposis.,PharmGKB (Drug Bank),http://www.pharmgkb.org/do/serve?objId=PA448871&objCls=Drug,http://clinicaltrials.gov/ct2/results?term=celecoxib,yes
10,Cetuximab (Erbitux),Epidermal growth factor receptor binding FAB. Cetuximab is composed of the Fv (variable; antigen-binding) regions of the 225 murine EGFr monoclonal antibody specific for the N-terminal portion of human EGFr with human IgG1 heavy and kappa light chain constant (framework) regions.,For treatment of metastatic colorectal cancer.,PharmGKB (Drug Bank),http://www.pharmgkb.org/do/serve?objId=PA10040&objCls=Drug,http://clinicaltrials.gov/ct2/results?term=cetuximab,yes
11,Clopidogrel (Plavix),Clopidogrel an antiplatelet agent structurally and pharmacologically similar to ticlopidine is used to reduce atherosclerotic events such as myocardial infarction stroke and vascular death in patients who have had a recent stroke recent MI or have established peripheral vascular disease.,For the reduction of atherosclerotic events (myocardial infarction stroke and vascular death) in patients with atherosclerosis documented by recent stroke recent myocardial infarction or established peripheral arterial disease.,PharmGKB (Drug Bank),http://www.pharmgkb.org/do/serve?objId=PA449053&objCls=Drug,http://clinicaltrials.gov/ct2/results?term=clopidogrel,yes
12,Codeine,An opioid analgesic related to morphine but with less potent analgesic properties and mild sedative effects. It also acts centrally to suppress cough.,For treatment and management of pain (systemic) also used as an antidiarrheal and as a cough suppressant.,PharmGKB (Drug Bank),http://www.pharmgkb.org/do/serve?objId=PA449088&objCls=Drug,http://clinicaltrials.gov/ct2/results?term=codeine,yes
